,company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,payrate,skills,uniq_id
209,Grid Logic Software Private Limited,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['IT-Software ', ' Software Services']","rovid technic support exist applications. To develop enhanc exist applic develop new applic defin architecture. To understand data model/ DB design architectur exist applic identifi chang base chang request To modifi exist wcf servic integr extern applic develop new servic required. defin implement platform level modul level compon base architecture. To develop compon ensur technic robustness, scalability, usabl maintain develop effort To maintain version control applic code DB backup restore. To develop maintain ssr report salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir work experi least 3+ year experi develop microsoft .net architectur framework, includ follow - .net 3.0/ 3.5/ 4.0 framework - c#.net - asp.net - wcf servic experi independ develop ssr report experi object orient analysi & design databas design experi MS sql server, leverag sql 2005 / 2008 featur develop optim store procedur DB mainten activ like take backup restoring. experi develop wcf services. knowledg design patterns, system architectur concept particular soa (servic orient application) . good commun analyt skills. abil handl multipl task deadlin attent detail. compani profile: grid logic softwar privat limit grid logic softwar privat limit download ppt photo 1 view contact detail",8097,"['Hyderabad', '/', 'Secunderabad']",Dot Net Developer,-,database application oop full stack asp.net web development javascript,14136
210,Green Gold Animation Pvt Ltd,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","descript should strong core java must good android sdk, experi build web nativ apps, experi android studio should good app game candid knowledg coco 2d & uniti 3d ad advantage. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: green gold anim pvt ltd green gold anim pvt ltd download ppt photo 1 view contact detail",14287,"['Hyderabad', '/', 'Secunderabad', ',', 'Mumbai']",ANDROID DEVELOPER,-,IT Software - Application Programming,7672
211,HERITAGE FOODS LIMITED,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['Agriculture ', ' Dairy']","l mainten book account solar divis day day account like purchases, sales, stores, cash transact etc., bank, vendor & inter segment reconcili reconcili energi (units/kw/mw) govern depart proper account power generated, banked, sold loss implement intern control co-ordin intern auditor smooth conduct intern audit initi cost control measur ensur adequ insur coverag assets, stock etc mainten fix asset regist complianc serc guidelin physic verif asset reconcili book account mainten relev document relat epc mahindra & govt dept ensur specif domest transact transfer price implic busi prepar financi statement like balanc sheet, statement profit & loss cash flow monthli / quarterli / annual ensur applic statutori complianc solar divis submiss mi report manag regular interv salary: not disclos recruit industry: agricultur / dairi function area: account , financ , tax , compani secretari , audit role category:account role:account manag desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani special doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: heritag food limit confidenti download ppt photo 1 view contact detail",280,"['Hyderabad', '/', 'Secunderabad']",Assistant Manager,-,Accounts,8593
212,YOGAM BPO,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 ,"['BPO ', ' Call Centre ', ' ITES']","om yogam bpo yogam bpo mean happiness, success freedom. yogam bpo welcomes/ invit peopl dream will invest genuin effort make dream come true. We sincer believ yogam bpo provid opportun home base transcription, medic coding, medic bill clinic research. how take advantag opportun depend will total get involved. yogam bpo six dedic train unit chennai tamil nadu. yogam bpo conduct free campus/ awar workshop regularli colleg tamil nadu, andhra pradesh, karnataka & kerala. advantages: dedic experienc trainer option choos onlin (via skype) offlin (at branches) train 10 year experi healthcar domain regist organ tie lead multin compani variou locations. highlights: assur job placement day-shift job (if requir night shift also arranged) certifi cours suitabl gender placement multin compani 100% job train salari rs.9000/- 45,000/- pm (perform based) suitabl housewives, colleg students, part time fulltim job seeker (medic transcription) flexibl work home offic (medic transcription) medic code It process deal standard numer alpha numer code assign medic diagnosi procedures. eligibility: candid bds, mpt, bpt, m.sc., / b.sc., & dip nursing, m.pharmaci / b.pharmacy, m.sc., / b.sc., microbiology, m.sc., / b.sc., bio-chemistry, m.sc., / b.sc., bio informatics, m.sc., / b.sc., / b.tech biotechnology, b.sc., / m.sc., biology, m.sc., / b.sc., zoology, BE bio-med etc., age 32 years. train modul : anatomi & physiolog intern classif diseas (icd) guidelin current procedur terminolog (cpt) guidelin hcpc (healthcar procedur code system) document code home base medic transcript medic transcript deal process convert voic record report dictat physician healthcar profession text format. elig : good listen skill basic comput knowledg basic english knowledg No age limit train modul : anatomi & physiolog transcript softwar american accent medic terminolog do dont transcript medic bill It process submit follow claim health insur compani order receiv payment servic render healthcar providers. elig : ani graduat good type skill age 32 year modul : demograph charg entri qualiti check claim submiss payment post AR follow-up AR call salary:inr 2,00,000 - 3,00,000 p.a. plu incentives, weekli five work days, saturday & sunday off. day shift. job locat IN chennai, hyderabad, bangalore, mumbai, kolkata, cochin, trivandrum, vishakhapatnam, vijayawada, trichy, coimbatore, madurai, villupuram. refer your friends! industry: bpo / call centr / ite function area: ite , bpo , kpo , lpo , custom servic , oper role category:oth role:med transcriptionist desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani special doctorate:ani doctor - ani specialization, doctor not requir whi yogam ?regist train institut more 10 year dedic services.campu drive premis regular basis. placement lead mncsplacement prefer locat provid home base project (medic transcription) immedi placement complet training100% placement assur letter issu time joiningti lead mnc metro citiesqualifi experienc trainersmor 500 open chennairegular colleg orient program conducted.for more detail contact :priyaarvind @9710889898amitha @ 09952996611alphonsa @ 09840338044manju @ 09940111836buvana @ 09789949099janci @ 07299088801dhanalakshmi @ 07401323339joelt @ 09790922010hema @ 09789013333porchelvi @ 09003116860gayathri @ 09094040533saranya @ 09994966186moham @ 09840040143 give like www.facebook.com/yogam.bpowww.yogambpo.orgwww.yogambpo.inwhatsapp @ 09789004777yogam bpo-chennai [tambaram]306, mudichur road,opp. hotel lion india,near pizza corner,west tambaram,chennai - 600 04509710889898 / 09840030179 / 09940111836 / 09952996611 / 07299088801yogam bpo-chennai [madipakkam]51, C M complex,madipakkam,opp.kumaran theater,chennai - 600 09109840040143 / 09710889898 / 09789949099 / 09003116860 /044 - 43579730yogam bpo-chennai [perambur]3, 2nd floor, ragavan street,m H road,near perambur railway station,chennai - 600 01109789013333 / 09952996611 / 09940111836 yogam bpo-vellore35, kosa street,kosapet,behind raja theater,opp. classic book center,vellor - 109789949099 / 07401323339 / 09940111836 / 09094040533 / 072990888010416 - 4203332yogam bpo-salem14, 1st floor, V T complex,opp. syndic bank,near krg hospital,ramalinga madalaya street,gugai (palam stopping)salem - 609994966186 / 09790229197 / 09840040143 / 09094040533 / 099401118360427 - 4036668yogam bpo-tirunelveli26a, 2nd floor,srinivasagam complex,opp.arya' super market,near karur vysya bank,trivandrum road,murugankurichi,tirunelv - 209840338044 / 09790922010 / 09840040143 / 09940111836 /0462 4000006accommod support outstat candid compani profile: yogam bpo whi prefer yogam:it IS the quality:each everi student that WE place IS directli train BY our certifi trainer with trust and reliability. they are genuin yogam trainers.train modul are design produc special for your career. onli the yogam genuin train methodolog protect you and travel with you with the job guarantee.convenience:w have 120 client and the servic OF yogam are pan india avail IN all the indian locat extend TO dubai, abu dabi AS well.select the job OF your choic AT the time OF enrollment. your recruit coordin will help you TO complet your join formal TO get start toward your train with complet confid and trust.savings:mani job seeker accept the risk OF join other train center OF question origin OR servic quality.genuin train IS competit with lower qualiti servic avail IN the local job market which may harm your career and risk your placement formal too.an invest IN quality:y have invest A lot TO acquir A career via yogam one OF the best servic provid IN india. you also invest thousand OF rupe over thi train ON trust, TO take care OF yourself and your dependents. think OF US everi time you receiv your salary. rememb US when you move TO A senior level IN your company. thank yogam BY gift your friend TO US for their career training. all our process are holist IN approach work IN harmoni TO deliv the memor experi and expectation. trust onli yogam that you demand.whatsapp us @ 09789004777dial - 09952996611, 09790922010, 07401323339, 09790229197, 09789013333, 09840040143, 09789949099, 09840338044, 09940111836, 097299088801, 09003116860, 09094040533 download ppt photo 1 view contact detail",8734,"['Anantapur', ',', 'Guntur', ',', 'Hyderabad', '/', 'Secunderabad', ',', 'Kurnool', ',', 'Vijayawada', ',', 'Kakinada', ',', 'Bhubaneshwar', ',', 'Cuttack', ',', 'Rourkela']",Medical Coding Transcription - We Will Help You Out - Wtsap 9789004777,"2,00,000 - 3,00,000 P.A. PLUS Incentives, Weekly FIVE Working Days, Saturday & Sunday OFF. DAY Shift. JOB Location IN Chennai, Hyderabad, Bangalore, Mumbai, Kolkata, Cochin, Trivandrum, Vishakhapatnam, Vijayawada, Trichy, Coimbatore, Madurai, Villupuram. Refer Your Friends!",biotech data science python machine learning pharmacy,13045
213,Oracle India Pvt. Ltd.,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",10 ,"['IT-Software ', ' Software Services']","ember support organization, focu deliv post- sale support solut oracl custom base serv advoc custom needs. thi involv resolv post- sale non- technic custom inquiri via phone electron means, well as, technic question regard use troubleshoot electron support services. A primari point contact customers, respons facilit custom relationship support provid advic assist intern oracl employe divers custom situat escal issues. As princip support engineer, offer strateg technic support assur highest level custom satisfaction. A primari focu create/ util autom technolog instrument diagnose, document, resolve/ avoid custom issues. you expect expert member technic problem solving/ problem avoid team, routin sought address extrem complex, critic custom issues. servic may frequent provid on- site custom visits. lead contributor individu team member, provid direct mentor others. work non- routin complex, involv applic advanc technical/ busi skill area specialization. 7 year experi core product eight year experi applic products, BS comput science/ manag inform systems/ science/ engineering/ math/ physics/ chemistri 3.0 gpa OR (for applications) proven professional/ technic experience, i.e., demonstr understand applic function technic level (prefer oracle) . salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - erp , crm role category:program & design role:system analyst desir candid profil education- ug: b.tech/b.e. pg:m.tech doctorate:ani doctor - ani specialization, doctor not requir manag servic helm develop support project sinc incept 2003. It pioneer suppl 24x7 product support solut develop process stood testimoni other follow trail success. thi depart manag sever ebiz siebel applic technolog across suppli chain, finance, iprocurement, advanc suppli chain planning, oracl incent compensation, fusion middleware, oracl identifi management, oracl applic framework, adf, ipm, ormb siebel applic includ call center apps, siebel marketing, sales, service, configur scripting, eai, eim, cti. financ function project atleast 10 year experi primari skill - r12 ebiz r12 - oracl financ function - r12 (12.2.3) mandatori experi follow modul fix asset cash manag gener ledger account payabl account receiv subledg account EB tax should experi support / implement readi work shift includ night shift. good commun skill secondari skill sql, pl/ sql job descript 1) function system support, configuration, function design custom solut integration. 2) experi aspect system support, test pre & post implement activities. should good leadership skill lead team develop also good custom face skills. should exposur manag report like weekly, monthli quarterly. good commun skill will work shifts. compani profile: oracl india pvt. ltd. oracl india pvt. ltd. download ppt photo 1 view contact detail",20307,"['Hyderabad', '/', 'Secunderabad']",Technical Analyst 4- Support,-,IT Software - ERP,10272
214,RATEIN INFOTECH (I) PVT. LTD.,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",8 ,"['IT-Software ', ' Software Services']","detail job detail job description: tririga sme assist develop technic solution, project plan, resourc estimates. the candid involv in: 1. support project team deliveri lead. 2. provid part time demand assist resolv critic open issu aris throughout deliveri life cycle. 3. advis deliveri team, well customer, regard key decis relat uniqu industri specif system operations. 4. assist project plan develop project kick- activ 5. provid sme product support help troubleshoot project issu 6. develop system configur lead edg iwm systems. 7. provid sme configur support lead edg iwm system busi develop 1. particip busi develop opportunities. 2. particip compani market campaign events. sale pursuit 1. aid sale tririga subject matter expertis (sme) assist develop propos technic solution, project plan, resourc estimates. 2. assist develop overal valu proposit propos deal. 3. particip prepar propos presentations; present explain propos solut customer. desir candid experience: 1. tririga applic implement consulting, least 2 year experience2. transform full life cycl asset manag across asset classes. At least 2 year experi 3. consult larg implement includ design, lead process workshops, lead design sessions, document implement solutions, least 2 year experi salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop desir candid profil education- ug: b.tech/b.e. pg:m.tech doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: ratein infotech (i) pvt. ltd. ratein infotech (i) pvt. ltd. download ppt photo 1 view contact detail",21549,"['Hyderabad', '/', 'Secunderabad']",Developer,-,IT Software - Application Programming,16450
215,McML Systems Pvt Ltd,"UG: Any Graduate PG:MBA/PGDM, Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['Construction ', ' Engineering ', ' Cement ', ' Metals']","ons make time accur data entri payabl invoices. prepar regular varianc report approv amount actual expenditure. control account system monitor budget actual expenditur all. regular updat final financ & account manag fund optimality. time process vendor/suppli bill reconcilili inter segment accounts. petti cash handl reconcili cash & bankbooks. coordin intern & statutori audit rectif audit quarri per schedule. prepar submiss function mis. hand experi talli updat versions. hand experi cash flow fund flow hand experi balanc sheet preparations.experi - 2-5 year construction/infra develop salary: not disclos recruit industry: construct / engin / cement / metal function area: account , financ , tax , compani secretari , audit role category:account role:account executive/account desir candid profil education- ug: ani graduat pg:mba/pgdm, ani postgradu doctorate:ani doctor - ani specialization, doctor not requir CA (charter accountant), CS (compani secretary) (compani secretary, CA (final) ) b.com. (commerce) (commerc honour ) compani profile: mcml system pvt ltd mcml system pvt ltd download ppt photo 1 view contact detail",21518,"['Hyderabad', '/', 'Secunderabad']",Accounts Executive,-,Accounts,13550
216,rightpath computer technologies pvt ltd,"UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['IT-Software ', ' Software Services']","ri databas administr support administ databas instanc effect perform basic task relat perform tuning, backup, recoveri high availability. resolv simpl moder (p2 p3) incid problem effect time manner provid 24x7 product support contribut perform root caus analysi respons implement small medium compon project modul work cross cultur team commun effect sql server databas administr 2005 2008 basic knowledg window OS relat command basic knowledg tsql queri tune good basic troubl shoot , pro activ monitoring, backup, restor recoveri good exposur high avail featur like mirroring, replic cluster good analyt skill flexibl work shift good team player willing explor learn new area technolog salary: not disclos recruit industry: it-softwar / softwar servic function area: ite , bpo , kpo , lpo , custom servic , oper role category:voic role:associate/senior associ -(nontechnical) desir candid profil education- ug: ani graduat pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: rightpath comput technolog pvt ltd rightpath comput technolog pvt. ltd. lead global desktop web solut servic provider, offer wide array solut custom rang key vertic horizontals. rightpath provid divers end end servic solut web site, web develop busi softwar develop domain client across globe. rightpath deliv unmatch busi valu custom combin process excellence, qualiti framework deliveri methodolog innov download ppt photo 1 view contact detail",5605,"['Hyderabad', '/', 'Secunderabad']",Database Administrator,-,ITES,11533
217,Oracle India Pvt. Ltd.,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",8 ,"['IT-Software ', ' Software Services']","ember support organization, focu deliv post- sale support solut oracl custom base serv advoc custom needs. thi involv resolv post- sale non- technic custom inquiri via phone electron means, well as, technic question regard use troubleshoot electron support services. A primari point contact customers, respons facilit custom relationship support provid advic assist intern oracl employe divers custom situat escal issues. As princip support engineer, offer strateg technic support assur highest level custom satisfaction. A primari focu create/ util autom technolog instrument diagnose, document, resolve/ avoid custom issues. you expect expert member technic problem solving/ problem avoid team, routin sought address extrem complex, critic custom issues. servic may frequent provid on- site custom visits. lead contributor individu team member, provid direct mentor others. work non- routin complex, involv applic advanc technical/ busi skill area specialization. 7 year experi core product eight year experi applic products, BS comput science/ manag inform systems/ science/ engineering/ math/ physics/ chemistri 3.0 gpa OR (for applications) proven professional/ technic experience, i.e., demonstr understand applic function technic level (prefer oracle) . salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:admin/maintenance/security/datawareh role:dba desir candid profil education- ug: b.tech/b.e. pg:m.tech doctorate:ani doctor - ani specialization, doctor not requir peoplesoft admin/ dba - should 7 year experi involv peoplesoft admin/ dba activities. - should good knowledg peoplesoft architectur variou compon peoplesoft tiers. - knowledg tool techniqu use peoplesoft administration. - should experi work unix environments. - should experi appli peoplesoft patches/ bundles/ mainten pack - should knowledg instal peoplesoft environ - should knowledg oracl databas administr - should know analyz tune peoplesoft perform issu - should well vers peoplesoft upgrad approach (both tool applic upgrades) - should complet least one full cycl applic upgrad - should work technic upgrad specialist applic upgrad project - should abl plan number databas instanc requir upgrad - should abl configur peoplesoft chang assist configur templat requir upgrad - should abl analyz patch appli appropri step upgrad - should good troubleshoot skill abl troubleshoot issu peoplesoft upgrad - should sound knowledg oracl databas migrations, backup recoveri - should proactiv identifi issu upgrad abl mitig issu - experi work flavor unix/ linux - should good analyz troubleshoot skill - nice - shell script - nice - experi work host environ - nice - knowledg firewal / bigip / lan- wan technolog - nice - experi platform migrat - reason good commun skill - should readi work shift compani profile: oracl india pvt. ltd. oracl india pvt. ltd. download ppt photo 1 view contact detail",20311,"['Hyderabad', '/', 'Secunderabad']",Technical Analyst 4- Support,-,IT Software - Application Programming,11663
218,Preeminent Technology,"UG: Any Graduate PG:MBA/PGDM, Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","descript male execel knowldg accout middot final day' balance, prepar print manag report custom ledger account reconciliation. prepar mi report monthli basis. prepar bank reconcili statement monthli basi account receiv entri made erp cash & bank voucher prepar payment receipt erp. petti cash expens monthli basis. calcul secur deposit interest field staff travel allow verifi finalization. prepar invoic prepar quotations. prepar credit notes, consign sale patties, vat return & C form verifi gener waybills. salary: not disclos recruit industry: it-softwar / softwar servic function area: account , financ , tax , compani secretari , audit role category:account role:account executive/account desir candid profil education- ug: ani graduat pg:mba/pgdm, ani postgradu doctorate:ani doctor - ani specialization, doctor not requir mba/ pgdm (financ ) ani graduat compani profile: preemin technolog preemin technolog download ppt photo 1 view contact detail",21136,"['Hyderabad', '/', 'Secunderabad']",Accountant,-,Accounts,17694
219,WeMakeScholars Edtech Pvt. Ltd,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['Education ', ' Teaching ', ' Training']","irements: be/bs/b.tech (or higher)in comput scienc relat field equival practic experience. A solid foundat comput science, strong compet data structures, algorithms, softwar design databas systems. must experi work lamp stack within framework. must self-motiv & enthusiast enough work start-up. desirable: prior work experi basic knowledg cm php like drupal/wordpress good knowledg oop, data structur good knowledg version control mechan like git/svn roles: develop maintain web platform wemakescholars.com salary: negoti location: wemakescholar inc, tbi, bits- pilani hyderabad campus, hyderabad. salary: not disclos recruit industry: educ / teach / train function area: IT softwar - applic program , mainten role category:program & design role:softwar develop desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir ani post graduat ani graduat compani profile: wemakescholar edtech pvt. ltd wemakescholar edtech pvt. ltd download ppt photo 1 view contact detail",21524,"['Hyderabad', '/', 'Secunderabad']",Software Developer,-,python java c c++ algorithmic desgin data structures web services full stack web development,13723
220,Cotiviti Corporation,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","ew requir execut comprehens detail test case and/ strategi base requir prepar test plan review project team design execut test case time manner meet project timelin proactiv commun project manager, develop busi analyst resolv issu question pertain test creation execut autom execut function regress test need good understand qualiti assur concept experi web servic test databas test advanc sql knowledg knowledg unix command experi servic test use soap sonar, soap UI experi test manag tool qualiti center autom experi use tool like qtp aplu experi work agil environ plu salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - telecom softwar role category:qa/testing/document role:qu assurance/qu control execut desir candid profil education- ug: b.tech/b.e. pg:m.tech doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: cotiv corpor cotiv corpor download ppt photo 1 view contact detail",21119,"['Hyderabad', '/', 'Secunderabad']",QA Engineer,-,IT Software - Telecom Software,13888
221,Oracle India Pvt. Ltd.,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['IT-Software ', ' Software Services']","ember support organization, focu deliv post- sale support solut oracl custom base serv advoc custom needs. thi involv resolv post- sale non- technic custom inquiri via phone electron means, well as, technic question regard use troubleshoot electron support services. A primari point contact customers, respons facilit custom relationship support provid advic assist intern oracl employe divers custom situat escal issues. As sr. support engineer, technic interfac customers, origin equip manufactur (oems) value- ad resel (vars) resolut problem relat installation, recommend mainten use oracl products. have understand oracl product compet in- depth knowledg sever product and/ platforms. also, highli experienc multipl platform abl complet assign duti minim direct management. In position, routin act independ research develop solut custom issues. job duti vari complex util independ judgment. may project lead role. 4 year experi core product five year experi applic product technic degre i.e., BS comput science/ manag inform systems/ science/ engineering/ math/ physics/ chemistri 3.0 gpa OR (for applications) proven professional/ technic experience, i.e., demonstr understand applic function technic level (prefer oracle) salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - erp , crm role category:admin/maintenance/security/datawareh role:dba desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir candid must highli technic individu 5 7 year app dba experi reput organ would manag customer\' applic environ meet said team requir must wide rang technic skill includ following: skillset mandatori databas administr rac standbi asm rman linux ebiz peoplesoft weblog administr understand function knowledg hcm option 10g/ 11gfusion middl ware product (ani one) bpel soa webcent sbase BI obie java script (python/ shell) oracleappl server identitymanag oam oid understand function knowledg hcm ad advantag compani profile: oracl india pvt. ltd. oracl india pvt. ltd. download ppt photo 1 view contact detail",11673,"['Hyderabad', '/', 'Secunderabad']",Technical Analyst 3- Support,-,IT Software - ERP,8373
222,YOGAM BPO,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 ,"['BPO ', ' Call Centre ', ' ITES']","om yogam bpo yogam bpo mean happiness, success freedom. yogam bpo welcomes/ invit peopl dream will invest genuin effort make dream come true. We sincer believ yogam bpo provid opportun home base transcription, medic coding, medic bill clinic research. how take advantag opportun depend will total get involved. yogam bpo six dedic train unit chennai tamil nadu. yogam bpo conduct free campus/ awar workshop regularli colleg tamil nadu, andhra pradesh, karnataka & kerala. advantages: dedic experienc trainer option choos onlin (via skype) offlin (at branches) train 10 year experi healthcar domain regist organ tie lead multin compani variou locations. highlights: assur job placement day-shift job (if requir night shift also arranged) certifi cours suitabl gender placement multin compani 100% job train salari rs.9000/- 45,000/- pm (perform based) suitabl housewives, colleg students, part time fulltim job seeker (medic transcription) flexibl work home offic (medic transcription) medic code It process deal standard numer alpha numer code assign medic diagnosi procedures. eligibility: candid bds, mpt, bpt, m.sc., / b.sc., & dip nursing, m.pharmaci / b.pharmacy, m.sc., / b.sc., microbiology, m.sc., / b.sc., bio-chemistry, m.sc., / b.sc., bio informatics, m.sc., / b.sc., / b.tech biotechnology, b.sc., / m.sc., biology, m.sc., / b.sc., zoology, BE bio-med etc., age 32 years. train modul : anatomi & physiolog intern classif diseas (icd) guidelin current procedur terminolog (cpt) guidelin hcpc (healthcar procedur code system) document code home base medic transcript medic transcript deal process convert voic record report dictat physician healthcar profession text format. elig : good listen skill basic comput knowledg basic english knowledg No age limit train modul : anatomi & physiolog transcript softwar american accent medic terminolog do dont transcript medic bill It process submit follow claim health insur compani order receiv payment servic render healthcar providers. elig : ani graduat good type skill age 32 year modul : demograph charg entri qualiti check claim submiss payment post AR follow-up AR call salary:inr 2,00,000 - 3,00,000 p.a. plu incentives, weekli five work days, saturday & sunday off. day shift. job locat IN chennai, hyderabad, bangalore, mumbai, kolkata, cochin, trivandrum, vishakhapatnam, vijayawada, trichy, coimbatore, madurai, villupuram. refer your friends! industry: bpo / call centr / ite function area: ite , bpo , kpo , lpo , custom servic , oper role category:oth role:med transcriptionist desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani special doctorate:ani doctor - ani specialization, doctor not requir whi yogam ?regist train institut more 10 year dedic services.campu drive premis regular basis. placement lead mncsplacement prefer locat provid home base project (medic transcription) immedi placement complet training100% placement assur letter issu time joiningti lead mnc metro citiesqualifi experienc trainersmor 500 open chennairegular colleg orient program conducted.for more detail contact :priyaarvind @9710889898amitha @ 09952996611alphonsa @ 09840338044manju @ 09940111836buvana @ 09789949099janci @ 07299088801dhanalakshmi @ 07401323339joelt @ 09790922010hema @ 09789013333porchelvi @ 09003116860gayathri @ 09094040533saranya @ 09994966186moham @ 09840040143 give like www.facebook.com/yogam.bpowww.yogambpo.orgwww.yogambpo.inwhatsapp @ 09789004777yogam bpo-chennai [tambaram]306, mudichur road,opp. hotel lion india,near pizza corner,west tambaram,chennai - 600 04509710889898 / 09840030179 / 09940111836 / 09952996611 / 07299088801yogam bpo-chennai [madipakkam]51, C M complex,madipakkam,opp.kumaran theater,chennai - 600 09109840040143 / 09710889898 / 09789949099 / 09003116860 /044 - 43579730yogam bpo-chennai [perambur]3, 2nd floor, ragavan street,m H road,near perambur railway station,chennai - 600 01109789013333 / 09952996611 / 09940111836 yogam bpo-vellore35, kosa street,kosapet,behind raja theater,opp. classic book center,vellor - 109789949099 / 07401323339 / 09940111836 / 09094040533 / 072990888010416 - 4203332yogam bpo-salem14, 1st floor, V T complex,opp. syndic bank,near krg hospital,ramalinga madalaya street,gugai (palam stopping)salem - 609994966186 / 09790229197 / 09840040143 / 09094040533 / 099401118360427 - 4036668yogam bpo-tirunelveli26a, 2nd floor,srinivasagam complex,opp.arya' super market,near karur vysya bank,trivandrum road,murugankurichi,tirunelv - 209840338044 / 09790922010 / 09840040143 / 09940111836 /0462 4000006accommod support outstat candid compani profile: yogam bpo whi prefer yogam:it IS the quality:each everi student that WE place IS directli train BY our certifi trainer with trust and reliability. they are genuin yogam trainers.train modul are design produc special for your career. onli the yogam genuin train methodolog protect you and travel with you with the job guarantee.convenience:w have 120 client and the servic OF yogam are pan india avail IN all the indian locat extend TO dubai, abu dabi AS well.select the job OF your choic AT the time OF enrollment. your recruit coordin will help you TO complet your join formal TO get start toward your train with complet confid and trust.savings:mani job seeker accept the risk OF join other train center OF question origin OR servic quality.genuin train IS competit with lower qualiti servic avail IN the local job market which may harm your career and risk your placement formal too.an invest IN quality:y have invest A lot TO acquir A career via yogam one OF the best servic provid IN india. you also invest thousand OF rupe over thi train ON trust, TO take care OF yourself and your dependents. think OF US everi time you receiv your salary. rememb US when you move TO A senior level IN your company. thank yogam BY gift your friend TO US for their career training. all our process are holist IN approach work IN harmoni TO deliv the memor experi and expectation. trust onli yogam that you demand.whatsapp us @ 09789004777dial - 09952996611, 09790922010, 07401323339, 09790229197, 09789013333, 09840040143, 09789949099, 09840338044, 09940111836, 097299088801, 09003116860, 09094040533 download ppt photo 1 view contact detail",8733,"['Bengaluru/Bangalore', ',', 'Chennai', ',', 'Delhi/NCR(National', 'Capital', 'Region)', ',', 'Hyderabad', '/', 'Secunderabad', ',', 'Mumbai', ',', 'Pune', ',', 'Noida', ',', 'Gurgaon', ',', 'Chandigarh']",Medical Coding Transcription - We Will Help You Out - Wtsap 9789004777,"2,00,000 - 3,00,000 P.A. PLUS Incentives, Weekly FIVE Working Days, Saturday & Sunday OFF. DAY Shift. JOB Location IN Chennai, Hyderabad, Bangalore, Mumbai, Kolkata, Cochin, Trivandrum, Vishakhapatnam, Vijayawada, Trichy, Coimbatore, Madurai, Villupuram. Refer Your Friends!",biotech data science python machine learning pharmacy,15700
